id,service_id,taxonomy_term_id
4,561831919465625,1276982655382389
12,570279198497703,1276982655382389
13,570279198497703,874406320909098
14,570279198497703,819562758416858
22,584221387739490,832401246252623
23,584221387739490,819562758416858
121,600311424612877,630013980013392
122,600311424612877,1276982655382389
127,611731051197054,1211420433536032
184,609764906879432,1276982655382389
223,607057383679661,1276982655382389
224,607057383679661,819562758416858
237,615102245607234,1276982655382389
256,635645258311778,841905613386238
257,635645258311778,899387596744807
258,635645258311778,1238748896910244
259,635645258311778,819562758416858
268,658172156866857,1305774265925553
275,643973730285080,841905613386238
276,643973730285080,819562758416858
370,712957682845265,1305774265925553
376,736771575912112,893915418546777
377,736771575912112,976566727118378
378,736771575912112,819562758416858
393,768069481383101,976566727118378
416,786774420218226,976566727118378
417,786774420218226,1118011435663674
422,743196443052437,893915418546777
423,743196443052437,976566727118378
424,743196443052437,885604845315230
425,743196443052437,819562758416858
429,755893450919058,913953119512423
430,755893450919058,819562758416858
441,765859355729308,1228385258535588
442,765859355729308,976566727118378
443,765859355729308,1091485627676359
444,777147158438789,893915418546777
445,777147158438789,841905613386238
462,741287798283565,1276982655382389
463,741287798283565,976566727118378
479,775374911143656,976566727118378
480,775374911143656,1238748896910244
489,805290013325766,841905613386238
490,805290013325766,1305774265925553
527,771415038083007,1276982655382389
528,771415038083007,594357854377389
529,771415038083007,895304866977482
541,793641507311678,1276982655382389
542,793641507311678,976566727118378
589,821975197328764,1305774265925553
590,821975197328764,1218316969190320
591,821975197328764,594357854377389
592,821975197328764,982549491856586
593,821975197328764,629380122005095
669,811588311148333,1228385258535588
670,811588311148333,976566727118378
671,811588311148333,940079755845898
688,786777987046972,893915418546777
736,806942363715001,630013980013392
737,806942363715001,819562758416858
748,819105625973846,758960875077789
756,826324408184019,1276982655382389
757,826324408184019,885604845315230
758,826324408184019,819562758416858
798,834474801815094,1276982655382389
799,834474801815094,874406320909098
800,834474801815094,819562758416858
848,855469857598617,893915418546777
860,828981302922460,1276982655382389
861,828981302922460,1091485627676359
872,849877675917053,819562758416858
927,868294682470679,893915418546777
928,868294682470679,600702532354257
929,877408991389663,1276982655382389
945,912682382040353,1276982655382389
988,916595636524322,1276982655382389
991,926086262623139,1141891580359737
1027,927583086660595,1276982655382389
1028,927583086660595,874406320909098
1029,927583086660595,819562758416858
1096,928339115255252,878852836579488
1097,928339115255252,819562758416858
1129,935391639326831,1276982655382389
1130,935391639326831,874406320909098
1131,935391639326831,819562758416858
1136,935921848165742,893915418546777
1137,935921848165742,1276982655382389
1138,938270944825871,893915418546777
1139,938270944825871,819562758416858
1163,937541358474144,976566727118378
1164,937541358474144,1238748896910244
1165,937541358474144,874406320909098
1180,963084111494175,1276982655382389
1181,963084111494175,893915418546777
1182,963084111494175,819562758416858
1238,982207553498582,893915418546777
1239,982207553498582,899387596744807
1240,982207553498582,841905613386238
1306,953571703501099,893915418546777
1307,953571703501099,1210001318958777
1308,953571703501099,819562758416858
1311,954742655318156,893915418546777
1312,954742655318156,899387596744807
1313,954742655318156,841905613386238
1314,954742655318156,985893316061112
1367,978823191463999,630013980013392
1379,988610275937141,893915418546777
1380,988610275937141,976566727118378
1381,988610275937141,819562758416858
1389,993277267161005,893915418546777
1414,1054654881182092,893915418546777
1415,1063814078946036,893915418546777
1416,1063814078946036,819562758416858
1417,1063814078946036,652121067639768
1452,1073305429578122,1276982655382389
1453,1073305429578122,874406320909098
1454,1073305429578122,819562758416858
1455,1073305429578122,1091485627676359
1476,1107751503709452,1305774265925553
1482,1049979809257514,1276982655382389
1483,1049979809257514,874406320909098
1484,1049979809257514,819562758416858
1489,1076835020018645,1305774265925553
1509,1098453015435360,819562758416858
1590,1138527811978367,893915418546777
1591,1138527811978367,819562758416858
1614,1120925823267751,1305774265925553
1630,1146427923405605,841905613386238
1631,1146427923405605,899387596744807
1650,1108394531508208,841905613386238
1651,1108394531508208,893915418546777
1652,1108394531508208,819562758416858
1672,1102203467116873,893915418546777
1673,1102203467116873,899387596744807
1674,1102203467116873,841905613386238
1675,1102203467116873,1238748896910244
1676,1102203467116873,1005131331152756
1677,1102203467116873,838767211746160
1678,1102203467116873,742573749443370
1680,1102764489219960,1276982655382389
1681,1102764489219960,969114221652955
1682,1102764489219960,1236262310782567
1689,1122765390786822,893915418546777
1690,1122765390786822,899387596744807
1691,1122765390786822,841905613386238
1692,1122765390786822,819562758416858
1708,1135984147096642,1276982655382389
1786,1167108992028451,893915418546777
1787,1167108992028451,1276982655382389
1817,1142869830287216,1276982655382389
1818,1142869830287216,976566727118378
1819,1149133594765984,893915418546777
1820,1149133594765984,982549491856586
1826,1160836319132411,893915418546777
1827,1160836319132411,899387596744807
1828,1160836319132411,841905613386238
1829,1160836319132411,594357854377389
1830,1160836319132411,819562758416858
1848,1188616906512182,1276982655382389
1849,1188616906512182,630013980013392
1850,1188616906512182,885604845315230
1851,1188616906512182,819562758416858
1906,1171041183154896,1276982655382389
1907,1171041183154896,874406320909098
1908,1171041183154896,819562758416858
1909,1171041183154896,1091485627676359
1963,1210054763234429,1276982655382389
1964,1210054763234429,893915418546777
1965,1210054763234429,1305774265925553
1966,1210054763234429,819562758416858
1986,1205746962140909,893915418546777
1987,1205746962140909,899387596744807
1988,1205746962140909,841905613386238
2015,1219965481612856,893915418546777
2016,1219965481612856,1276982655382389
2017,1219965481612856,976566727118378
2018,1219965481612856,819562758416858
2048,1227451026876891,893915418546777
2049,1227451026876891,899387596744807
2050,1227451026876891,841905613386238
2051,1228697695545072,1305774265925553
2064,1236034161171034,893915418546777
2065,1236034161171034,1305774265925553
2066,1236034161171034,1169956847122981
2067,1236034161171034,899387596744807
2068,1236034161171034,841905613386238
2097,1214490568958133,893915418546777
2098,1214490568958133,819562758416858
2102,1222212212143407,1276982655382389
2104,1223343952721664,629380122005095
2111,1243005448190685,976566727118378
2142,1232646715498091,1228385258535588
2143,1232646715498091,976566727118378
2144,1232646715498091,1091485627676359
2203,1276490106012366,893915418546777
2204,1276490106012366,1242234055511863
2205,1276490106012366,1277101341169416
2206,1276490106012366,764797459068982
2207,1276490106012366,1316589317502463
2208,1276490106012366,819562758416858
2219,1235579050212858,1276982655382389
2241,1281873572081806,893915418546777
2242,1281873572081806,625144853335827
2284,1261952699824933,976566727118378
2285,1261952699824933,1091485627676359
2294,1268436437227362,893915418546777
2295,1268436437227362,1169956847122981
2296,1268436437227362,1305774265925553
2297,1268436437227362,876072370037480
2312,1278460102567092,878852836579488
2313,1278460102567092,819562758416858
2360,1282627737254185,1305774265925553
2361,1282627737254185,1169956847122981
2396,1287381779305670,899387596744807
2397,1287381779305670,893915418546777
2398,1287381779305670,1218316969190320
2399,1287381779305670,819562758416858
2421,1330210073954058,1276982655382389
2457,1312648219687403,819562758416858
2500,1157089206097365,897715506052490
2501,1157089206097365,697638961326982
2502,1157089206097365,1212005456553071
2503,1157089206097365,742573749443370
2504,1342355454259613,893915418546777
2505,1342355454259613,1294707318379665
2506,1342355454259613,1212005456553071
2507,1342355454259613,754865326124113
2561,958856187058355,879394671891223
2562,958856187058355,1090773917009436
2563,1338909579517881,1351267360227145
2564,1338909579517881,1276982655382389
2565,1338909579517881,879394671891223
2566,1338909579517881,1102011945010404
2577,819105625973846,1212005456553071
3151,1223343952721664,817592898756695
3174,1118257508626334,1212005456553071
3175,1118257508626334,533832483389123
3400,834474801815094,879394671891223
3401,834474801815094,1193736021448376
3402,834474801815094,893915418546777
3403,834474801815094,1212005456553071
7361,743196443052437,896905506493054
7362,743196443052437,1212005456553071
7363,743196443052437,742573749443370
7364,743196443052437,1139839930624727
7365,743196443052437,1238748896910244
7376,806942363715001,1212005456553071
7378,1188616906512182,896905506493054
7379,1188616906512182,1212005456553071
7471,1188616906512182,879394671891223
7472,926086262623139,996413864069591
7473,926086262623139,929932272422839
7474,926086262623139,1212005456553071
7475,926086262623139,742573749443370
7476,926086262623139,1139839930624727
7477,926086262623139,1238748896910244
7478,926086262623139,1305774265925553
7479,926086262623139,958152786056493
7480,926086262623139,892692765580900
7481,988610275937141,1212005456553071
